Test Case Name,Build ID,Flaky Frequency,Traceback Coverage,Test Smells,Previous State,Test Size,Flaky or Not
test_slice_csv_endpoint,596018914,0.63,0,0,1,7,0
test_templated_sql_json,596018914,0.69,0,0,1,4,1
test_alias_duplicate,596018914,0.63,0,0,1,6,1
test_explain,596018914,0.63,0,0,1,3,1
test_multi_sql,596018914,0.63,0,0,1,7,1
test_sql_json,596018914,0.63,0,0,1,5,1
test_sql_json_has_access,596018914,0.63,0,0,1,25,1
test_sql_limit,596018914,0.69,0,0,1,20,1
test_cache_value,596018914,0.67,0,0,1,16,0
test_run_async_query,596018914,0.63,1,1,1,28,0
test_run_async_query_with_lower_limit,596018914,0.63,0,1,1,27,1
test_old_slice_json_endpoint,596018914,0.67,1,0,1,9,0
test_slice_json_endpoint,596018914,0.67,1,0,1,4,0
test_slice_payload_no_data,596018914,0.73,0,0,1,20,0
test_slices,596018914,0.67,0,3,1,14,1
test_query_with_expr_groupby,596018914,0.33,0,0,1,1,1
test_query_with_expr_groupby_timeseries,596018914,0.33,0,1,1,11,1
test_search_query_on_status,596018914,0.63,0,0,1,12,1
test_default_data_serialization,585918187,0.5,1,0,1,17,0
test_default_payload_serialization,585918187,0.5,1,0,1,30,0
test_msgpack_payload_serialization,585918187,0.6,1,0,1,30,0
test_new_data_serialization,585918187,0.6,1,0,1,17,0
test_run_sync_query_cta_no_data,585918187,0.71,0,0,1,9,1
test_csv_endpoint,585918187,0.6,0,2,1,19,1
test_results_default_deserialization,585918187,0.5,1,0,1,38,1
test_results_msgpack_deserialization,585918187,0.6,1,0,1,43,1
test_templated_sql_json,585918187,0.71,0,0,1,4,1
test_dedup_with_data,585918187,0.33,1,0,1,4,1
test_get_columns_basic,585918187,0.33,1,0,1,11,0
test_get_columns_type_inference,585918187,0.33,1,0,1,22,1
test_get_columns_with_int,585918187,0.33,1,0,1,16,1
test_int64_with_missing_data,585918187,0.33,1,0,1,16,1
test_alias_duplicate,585918187,0.6,0,0,1,6,1
test_explain,585918187,0.6,0,0,1,3,1
test_multi_sql,585918187,0.6,0,0,1,7,1
test_sql_json,585918187,0.6,0,0,1,5,1
test_sql_json_has_access,585918187,0.6,0,0,1,25,1
test_sql_limit,585918187,0.71,0,0,1,20,1
test_run_sync_query_cta,585918187,0.6,0,0,1,18,0
test_search_query_on_status,585918187,0.6,0,0,1,12,1
test_csv_endpoint,587187987,0.66,1,2,1,19,1
test_templated_sql_json,587187987,0.75,1,0,1,4,1
test_alias_duplicate,587187987,0.66,1,0,1,6,1
test_explain,587187987,0.66,1,0,1,3,1
test_multi_sql,587187987,0.66,1,0,1,7,1
test_queries_endpoint,587187987,0.33,1,1,1,31,0
test_search_query_on_db_id,587187987,0.33,1,0,1,13,1
test_search_query_on_status,587187987,0.66,1,0,1,12,1
test_search_query_on_text,587187987,0.33,1,2,1,6,1
test_search_query_on_time,587187987,0.6,1,0,1,15,1
test_search_query_on_user,587187987,0.33,1,0,1,13,1
test_sql_json,587187987,0.66,1,0,1,5,1
test_sql_json_has_access,587187987,0.66,1,0,1,25,1
test_sql_limit,587187987,0.75,1,0,1,20,1
