Build ID,Test Method,Flaky or Not,Detection Method,Traceback Cover,Number of Smells,Flaky Frequency,Size,Path
720238021,test_lex_attrs_like_number,Non-Flaky,Traceback Coverage,T,0,0.22,3,spaCy/spacy/tests/lang/he/test_tokenizer.py
720238021,test_he_lex_attrs_like_number_for_ordinal,Non-Flaky,Traceback Coverage,T,0,0.20,1,spaCy/spacy/tests/lang/he/test_tokenizer.py
720214659,test_lex_attrs_like_number,Non-Flaky,Traceback Coverage,T,0,0.29,3,spaCy/spacy/tests/lang/en/test_text.py
720214659,test_en_lex_attrs_like_number_for_ordinal,Non-Flaky,Traceback Coverage,T,0,0.25,1,spaCy/spacy/tests/lang/en/test_text.py
720214659,test_lex_attrs_like_number,Non-Flaky,Traceback Coverage,T,0,0.29,3,spaCy/spacy/tests/lang/he/test_tokenizer.py
720214659,test_he_lex_attrs_like_number_for_ordinal,Non-Flaky,Traceback Coverage,T,0,0.25,1,spaCy/spacy/tests/lang/he/test_tokenizer.py
719348708,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.23,8,spaCy/spacy/tests/regression/test_issue5838.py
719271261,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.24,8,spaCy/spacy/tests/regression/test_issue5838.py
719238016,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.24,8,spaCy/spacy/tests/regression/test_issue5838.py
719223380,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.24,8,spaCy/spacy/tests/regression/test_issue5838.py
719214297,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.25,8,spaCy/spacy/tests/regression/test_issue5838.py
719137668,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.23,8,spaCy/spacy/tests/regression/test_issue5838.py
719132991,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.24,8,spaCy/spacy/tests/regression/test_issue5838.py
719132278,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.25,8,spaCy/spacy/tests/regression/test_issue5838.py
719132276,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.24,8,spaCy/spacy/tests/regression/test_issue5838.py
717390840,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.23,8,spaCy/spacy/tests/regression/test_issue5838.py
717370960,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.24,8,spaCy/spacy/tests/regression/test_issue5838.py
717273497,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.24,8,spaCy/spacy/tests/regression/test_issue5838.py
717253865,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.25,8,spaCy/spacy/tests/regression/test_issue5838.py
717253625,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.26,8,spaCy/spacy/tests/regression/test_issue5838.py
717220713,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.26,8,spaCy/spacy/tests/regression/test_issue5838.py
717220583,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.27,8,spaCy/spacy/tests/regression/test_issue5838.py
717215055,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.28,8,spaCy/spacy/tests/regression/test_issue5838.py
716973484,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.26,8,spaCy/spacy/tests/regression/test_issue5838.py
716864695,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.26,8,spaCy/spacy/tests/regression/test_issue5838.py
716853604,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.27,8,spaCy/spacy/tests/regression/test_issue5838.py
716842914,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.28,8,spaCy/spacy/tests/regression/test_issue5838.py
716694703,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.26,8,spaCy/spacy/tests/regression/test_issue5838.py
716676400,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.27,8,spaCy/spacy/tests/regression/test_issue5838.py
715878588,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.24,8,spaCy/spacy/tests/regression/test_issue5838.py
715142465,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.21,8,spaCy/spacy/tests/regression/test_issue5838.py
715137147,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.22,8,spaCy/spacy/tests/regression/test_issue5838.py
714813668,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.19,8,spaCy/spacy/tests/regression/test_issue5838.py
714780536,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.20,8,spaCy/spacy/tests/regression/test_issue5838.py
714780267,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.21,8,spaCy/spacy/tests/regression/test_issue5838.py
714750457,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.22,8,spaCy/spacy/tests/regression/test_issue5838.py
714522175,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.18,8,spaCy/spacy/tests/regression/test_issue5838.py
714509018,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.19,8,spaCy/spacy/tests/regression/test_issue5838.py
714496433,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.20,8,spaCy/spacy/tests/regression/test_issue5838.py
714442340,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.21,8,spaCy/spacy/tests/regression/test_issue5838.py
714392957,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.22,8,spaCy/spacy/tests/regression/test_issue5838.py
714374750,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.24,8,spaCy/spacy/tests/regression/test_issue5838.py
713709351,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.19,8,spaCy/spacy/tests/regression/test_issue5838.py
713697905,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.20,8,spaCy/spacy/tests/regression/test_issue5838.py
713634286,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.21,8,spaCy/spacy/tests/regression/test_issue5838.py
713364530,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.15,8,spaCy/spacy/tests/regression/test_issue5838.py
713349487,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.17,8,spaCy/spacy/tests/regression/test_issue5838.py
713314552,test_lang_initialize,Flaky,Multi-Factor,F,0,0.38,6,spaCy/spacy/tests/lang/test_initialize.py
713314552,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.18,8,spaCy/spacy/tests/regression/test_issue5838.py
713292740,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.20,8,spaCy/spacy/tests/regression/test_issue5838.py
713196752,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.22,8,spaCy/spacy/tests/regression/test_issue5838.py
713176906,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.25,8,spaCy/spacy/tests/regression/test_issue5838.py
713021572,test_issue5838,Non-Flaky,Multi-Factor,F,0,0.14,8,spaCy/spacy/tests/regression/test_issue5838.py
712993434,test_issue5838,Non-Flaky,Traceback Coverage,T,0,0.17,8,spaCy/spacy/tests/regression/test_issue5838.py
712911765,test_issue5838,Non-Flaky,Traceback Coverage,T,0,0.20,8,spaCy/spacy/tests/regression/test_issue5838.py
712904884,test_issue5838,Non-Flaky,Traceback Coverage,T,0,0.25,8,spaCy/spacy/tests/regression/test_issue5838.py
706518655,test_issue3248_2,Non-Flaky,Multi-Factor,F,0,0.38,8,spaCy/spacy/tests/regression/test_issue3001-3500.py
706485115,test_phrase_matcher_pickle,Non-Flaky,Multi-Factor,F,0,0.25,16,spaCy/spacy/tests/matcher/test_phrase_matcher.py
706485115,test_issue595,Non-Flaky,Multi-Factor,F,0,0.30,13,spaCy/spacy/tests/regression/test_issue1-1000.py
706485115,test_issue3248_2,Non-Flaky,Multi-Factor,F,0,0.43,8,spaCy/spacy/tests/regression/test_issue3001-3500.py
697797112,test_serialize_tagger_roundtrip_bytes,Flaky,Traceback Coverage,F,0,0.20,6,spaCy/spacy/tests/serialize/test_serialize_pipeline.py
697796662,test_serialize_tagger_roundtrip_bytes,Flaky,Traceback Coverage,F,0,0.25,6,spaCy/spacy/tests/serialize/test_serialize_pipeline.py
690015635,test_issue5152,Non-Flaky,Multi-Factor,F,0,0.09,13,spaCy/spacy/tests/regression/test_issue5152.py
690015635,test_to_disk_resource_warning,Flaky,Multi-Factor,F,0,0.25,2,spaCy/spacy/tests/regression/test_issue5230.py
690015635,test_resource_warning,Flaky,Multi-Factor,F,0,0.25,5,spaCy/spacy/tests/regression/test_issue5230.py
690015635,test_issue5458,Flaky,Multi-Factor,F,0,0.13,12,spaCy/spacy/tests/regression/test_issue5458.py
690015635,test_pickle_vocab,Flaky,Multi-Factor,F,0,0.19,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
690015635,test_vectors_serialize,Non-Flaky,Multi-Factor,F,0,0.09,25,spaCy/spacy/tests/vocab_vectors/test_vectors.py
690006342,test_issue5152,Non-Flaky,Multi-Factor,F,0,0.10,13,spaCy/spacy/tests/regression/test_issue5152.py
690006342,test_issue5458,Flaky,Multi-Factor,F,0,0.14,12,spaCy/spacy/tests/regression/test_issue5458.py
690006342,test_pickle_vocab,Flaky,Multi-Factor,F,0,0.20,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
690006342,test_vectors_serialize,Non-Flaky,Multi-Factor,F,0,0.10,25,spaCy/spacy/tests/vocab_vectors/test_vectors.py
689997586,test_issue5152,Non-Flaky,Multi-Factor,F,0,0.10,13,spaCy/spacy/tests/regression/test_issue5152.py
689997586,test_to_disk_resource_warning,Flaky,Multi-Factor,F,0,0.29,2,spaCy/spacy/tests/regression/test_issue5230.py
689997586,test_resource_warning,Flaky,Multi-Factor,F,0,0.29,5,spaCy/spacy/tests/regression/test_issue5230.py
689997586,test_issue5458,Flaky,Multi-Factor,F,0,0.15,12,spaCy/spacy/tests/regression/test_issue5458.py
689997586,test_pickle_vocab,Flaky,Multi-Factor,F,0,0.21,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
689997586,test_vectors_serialize,Non-Flaky,Multi-Factor,F,0,0.10,25,spaCy/spacy/tests/vocab_vectors/test_vectors.py
689986405,test_issue5152,Non-Flaky,Multi-Factor,F,0,0.11,13,spaCy/spacy/tests/regression/test_issue5152.py
689986405,test_to_disk_resource_warning,Flaky,Multi-Factor,F,0,0.33,2,spaCy/spacy/tests/regression/test_issue5230.py
689986405,test_resource_warning,Flaky,Multi-Factor,F,0,0.33,5,spaCy/spacy/tests/regression/test_issue5230.py
689986405,test_issue5458,Flaky,Multi-Factor,F,0,0.17,12,spaCy/spacy/tests/regression/test_issue5458.py
689986405,test_pickle_vocab,Flaky,Multi-Factor,F,0,0.22,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
689986405,test_vectors_serialize,Non-Flaky,Multi-Factor,F,0,0.11,25,spaCy/spacy/tests/vocab_vectors/test_vectors.py
689949250,test_issue5152,Non-Flaky,Multi-Factor,F,0,0.11,13,spaCy/spacy/tests/regression/test_issue5152.py
689949250,test_to_disk_resource_warning,Flaky,Multi-Factor,F,0,0.40,2,spaCy/spacy/tests/regression/test_issue5230.py
689949250,test_resource_warning,Flaky,Multi-Factor,F,0,0.40,5,spaCy/spacy/tests/regression/test_issue5230.py
689949250,test_issue5458,Flaky,Multi-Factor,F,0,0.18,12,spaCy/spacy/tests/regression/test_issue5458.py
689949250,test_pickle_vocab,Flaky,Multi-Factor,F,0,0.23,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
689949250,test_vectors_serialize,Non-Flaky,Multi-Factor,F,0,0.11,25,spaCy/spacy/tests/vocab_vectors/test_vectors.py
689833476,test_issue5152,Non-Flaky,Multi-Factor,F,0,0.06,13,spaCy/spacy/tests/regression/test_issue5152.py
689833476,test_to_disk_resource_warning,Flaky,Multi-Factor,T,0,0.25,2,spaCy/spacy/tests/regression/test_issue5230.py
689833476,test_resource_warning,Flaky,Multi-Factor,T,0,0.25,5,spaCy/spacy/tests/regression/test_issue5230.py
689833476,test_issue5458,Flaky,Multi-Factor,F,0,0.10,12,spaCy/spacy/tests/regression/test_issue5458.py
689833476,test_pickle_vocab,Flaky,Multi-Factor,F,0,0.19,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
689833476,test_vectors_serialize,Non-Flaky,Multi-Factor,F,0,0.06,25,spaCy/spacy/tests/vocab_vectors/test_vectors.py
689825616,test_issue5152,Non-Flaky,Multi-Factor,F,0,0.06,13,spaCy/spacy/tests/regression/test_issue5152.py
689825616,test_issue5458,Flaky,Multi-Factor,F,0,0.11,12,spaCy/spacy/tests/regression/test_issue5458.py
689825616,test_pickle_vocab,Flaky,Multi-Factor,F,0,0.20,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
689825616,test_vectors_serialize,Non-Flaky,Multi-Factor,F,0,0.06,25,spaCy/spacy/tests/vocab_vectors/test_vectors.py
689779338,test_issue5152,Non-Flaky,Multi-Factor,F,0,0.07,13,spaCy/spacy/tests/regression/test_issue5152.py
689779338,test_issue5458,Flaky,Multi-Factor,F,0,0.12,12,spaCy/spacy/tests/regression/test_issue5458.py
689779338,test_pickle_vocab,Flaky,Multi-Factor,F,0,0.21,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
689779338,test_vectors_serialize,Non-Flaky,Multi-Factor,F,0,0.07,25,spaCy/spacy/tests/vocab_vectors/test_vectors.py
689759732,test_issue5152,Non-Flaky,Multi-Factor,F,0,0.07,13,spaCy/spacy/tests/regression/test_issue5152.py
689759732,test_issue5458,Flaky,Multi-Factor,F,0,0.14,12,spaCy/spacy/tests/regression/test_issue5458.py
689759732,test_pickle_vocab,Flaky,Multi-Factor,F,0,0.22,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
689759732,test_vectors_serialize,Non-Flaky,Multi-Factor,F,0,0.07,25,spaCy/spacy/tests/vocab_vectors/test_vectors.py
689759391,test_issue5152,Non-Flaky,Multi-Factor,F,0,0.08,13,spaCy/spacy/tests/regression/test_issue5152.py
689759391,test_pickle_vocab,Flaky,Multi-Factor,F,0,0.24,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
689759391,test_vectors_serialize,Non-Flaky,Multi-Factor,F,0,0.08,25,spaCy/spacy/tests/vocab_vectors/test_vectors.py
689759017,test_pretrain_make_docs,Non-Flaky,Multi-Factor,F,0,0.20,31,spaCy/spacy/tests/test_cli.py
689759017,test_displacy_invalid_arcs,Non-Flaky,Multi-Factor,F,0,0.08,8,spaCy/spacy/tests/test_displacy.py
689759017,test_displacy_raises_for_wrong_type,Flaky,Multi-Factor,F,0,0.08,2,spaCy/spacy/tests/test_displacy.py
689759017,test_add_codes,Flaky,Multi-Factor,F,0,0.08,4,spaCy/spacy/tests/test_errors.py
689759017,test_gold_biluo_overlap,Flaky,Multi-Factor,F,0,0.08,9,spaCy/spacy/tests/test_gold.py
689759017,test_gold_biluo_misalign,Flaky,Multi-Factor,F,0,0.08,7,spaCy/spacy/tests/test_gold.py
689759017,test_iob_to_biluo,Flaky,Multi-Factor,F,0,0.08,7,spaCy/spacy/tests/test_gold.py
689759017,test_language_update,Non-Flaky,Multi-Factor,F,0,0.20,20,spaCy/spacy/tests/test_language.py
689759017,test_language_pipe,Flaky,Multi-Factor,F,0,0.24,5,spaCy/spacy/tests/test_language.py
689759017,test_tagger_warns_no_lemma_lookups,Non-Flaky,Multi-Factor,F,0,0.14,13,spaCy/spacy/tests/test_lemmatizer.py
689759017,test_roc_auc_score,Non-Flaky,Multi-Factor,F,0,0.08,58,spaCy/spacy/tests/test_scorer.py
689759017,test_add_overlapping_entities,Flaky,Multi-Factor,F,0,0.08,7,spaCy/spacy/tests/doc/test_add_entities.py
689759017,test_doc_from_array_heads_in_bounds,Non-Flaky,Multi-Factor,F,0,0.08,21,spaCy/spacy/tests/doc/test_array.py
689759017,test_create_from_words_and_text,Non-Flaky,Multi-Factor,F,0,0.08,38,spaCy/spacy/tests/doc/test_creation.py
689759017,test_doc_api_getitem,Non-Flaky,Multi-Factor,F,0,0.08,66,spaCy/spacy/tests/doc/test_doc_api.py
689759017,test_doc_api_similarity_match,Flaky,Multi-Factor,F,0,0.14,7,spaCy/spacy/tests/doc/test_doc_api.py
689759017,test_doc_from_array_sent_starts,Non-Flaky,Multi-Factor,F,0,0.08,29,spaCy/spacy/tests/doc/test_doc_api.py
689759017,test_doc_retokenize_spans_merge_non_disjoint,Flaky,Multi-Factor,F,0,0.08,12,spaCy/spacy/tests/doc/test_retokenize_merge.py
689759017,test_doc_retokenize_merge_extension_attrs_invalid,Flaky,Multi-Factor,F,0,0.08,7,spaCy/spacy/tests/doc/test_retokenize_merge.py
689759017,test_doc_retokenize_split_heads_error,Flaky,Multi-Factor,F,0,0.08,9,spaCy/spacy/tests/doc/test_retokenize_split.py
689759017,test_doc_retokenize_split_orths_mismatch,Flaky,Multi-Factor,F,0,0.08,10,spaCy/spacy/tests/doc/test_retokenize_split.py
689759017,test_doc_retokenize_split_extension_attrs_invalid,Flaky,Multi-Factor,F,0,0.08,9,spaCy/spacy/tests/doc/test_retokenize_split.py
689759017,test_span_similarity_match,Flaky,Multi-Factor,F,0,0.14,7,spaCy/spacy/tests/doc/test_span.py
689759017,test_span_label_readonly,Flaky,Multi-Factor,F,0,0.08,3,spaCy/spacy/tests/doc/test_span.py
689759017,test_span_kb_id_readonly,Flaky,Multi-Factor,F,0,0.08,3,spaCy/spacy/tests/doc/test_span.py
689759017,test_doc_to_json_underscore_error_attr,Flaky,Multi-Factor,F,0,0.08,4,spaCy/spacy/tests/doc/test_to_json.py
689759017,test_doc_to_json_underscore_error_serialize,Flaky,Multi-Factor,F,0,0.12,5,spaCy/spacy/tests/doc/test_to_json.py
689759017,test_doc_token_api_head_setter,Non-Flaky,Multi-Factor,F,0,0.08,44,spaCy/spacy/tests/doc/test_token_api.py
689759017,test_underscore_raises_for_dup,Flaky,Multi-Factor,F,0,0.08,3,spaCy/spacy/tests/doc/test_underscore.py
689759017,test_underscore_raises_for_invalid,Flaky,Multi-Factor,F,0,0.08,3,spaCy/spacy/tests/doc/test_underscore.py
689759017,test_lang_initialize,Flaky,Multi-Factor,F,0,0.36,6,spaCy/spacy/tests/lang/test_initialize.py
689759017,test_noun_chunks_is_parsed_de,Flaky,Multi-Factor,F,0,0.08,9,spaCy/spacy/tests/lang/de/test_noun_chunks.py
689759017,test_noun_chunks_is_parsed_el,Flaky,Multi-Factor,F,0,0.08,9,spaCy/spacy/tests/lang/el/test_noun_chunks.py
689759017,test_noun_chunks_is_parsed,Flaky,Multi-Factor,F,0,0.08,9,spaCy/spacy/tests/lang/en/test_noun_chunks.py
689759017,test_noun_chunks_is_parsed_es,Flaky,Multi-Factor,F,0,0.08,9,spaCy/spacy/tests/lang/es/test_noun_chunks.py
689759017,test_noun_chunks_is_parsed_fa,Flaky,Multi-Factor,F,0,0.08,9,spaCy/spacy/tests/lang/fa/test_noun_chunks.py
689759017,test_noun_chunks_is_parsed_fr,Flaky,Multi-Factor,F,0,0.08,9,spaCy/spacy/tests/lang/fr/test_noun_chunks.py
689759017,test_noun_chunks_is_parsed_id,Flaky,Multi-Factor,F,0,0.08,9,spaCy/spacy/tests/lang/id/test_noun_chunks.py
689759017,test_noun_chunks_is_parsed_nb,Flaky,Multi-Factor,F,0,0.08,9,spaCy/spacy/tests/lang/nb/test_noun_chunks.py
689759017,test_noun_chunks_is_parsed_sv,Non-Flaky,Multi-Factor,F,0,0.08,32,spaCy/spacy/tests/lang/sv/test_noun_chunks.py
689759017,test_matcher_basic_check,Flaky,Multi-Factor,F,0,0.08,5,spaCy/spacy/tests/matcher/test_matcher_api.py
689759017,test_attr_pipeline_checks,Non-Flaky,Multi-Factor,F,0,0.09,25,spaCy/spacy/tests/matcher/test_matcher_api.py
689759017,test_matcher_valid_callback,Flaky,Multi-Factor,F,0,0.08,5,spaCy/spacy/tests/matcher/test_matcher_api.py
689759017,test_matcher_remove,Non-Flaky,Multi-Factor,F,0,0.08,18,spaCy/spacy/tests/matcher/test_matcher_logic.py
689759017,test_minimal_pattern_validation,Flaky,Multi-Factor,F,0,0.08,6,spaCy/spacy/tests/matcher/test_pattern_validation.py
689759017,test_phrase_matcher_validation,Non-Flaky,Multi-Factor,F,0,0.14,17,spaCy/spacy/tests/matcher/test_phrase_matcher.py
689759017,test_attr_validation,Flaky,Multi-Factor,F,0,0.08,2,spaCy/spacy/tests/matcher/test_phrase_matcher.py
689759017,test_attr_pipeline_checks,Non-Flaky,Multi-Factor,F,0,0.09,25,spaCy/spacy/tests/matcher/test_phrase_matcher.py
689759017,test_phrase_matcher_basic_check,Flaky,Multi-Factor,F,0,0.08,5,spaCy/spacy/tests/matcher/test_phrase_matcher.py
689759017,test_component_decorator_assigns,Non-Flaky,Multi-Factor,F,0,0.12,36,spaCy/spacy/tests/pipeline/test_analysis.py
689759017,test_analysis_validate_attrs_valid,Flaky,Multi-Factor,F,0,0.08,6,spaCy/spacy/tests/pipeline/test_analysis.py
689759017,test_analysis_validate_attrs_invalid,Flaky,Multi-Factor,F,0,0.08,2,spaCy/spacy/tests/pipeline/test_analysis.py
689759017,test_analysis_validate_attrs_remove_pipe,Non-Flaky,Multi-Factor,F,0,0.08,15,spaCy/spacy/tests/pipeline/test_analysis.py
689759017,test_kb_invalid_entities,Flaky,Multi-Factor,F,0,0.13,11,spaCy/spacy/tests/pipeline/test_entity_linker.py
689759017,test_kb_invalid_probabilities,Flaky,Multi-Factor,F,0,0.13,9,spaCy/spacy/tests/pipeline/test_entity_linker.py
689759017,test_kb_invalid_combination,Flaky,Multi-Factor,F,0,0.13,11,spaCy/spacy/tests/pipeline/test_entity_linker.py
689759017,test_kb_invalid_entity_vector,Flaky,Multi-Factor,F,0,0.08,7,spaCy/spacy/tests/pipeline/test_entity_linker.py
689759017,test_append_alias,Non-Flaky,Multi-Factor,F,0,0.08,20,spaCy/spacy/tests/pipeline/test_entity_linker.py
689759017,test_append_invalid_alias,Flaky,Multi-Factor,F,0,0.08,12,spaCy/spacy/tests/pipeline/test_entity_linker.py
689759017,test_entity_ruler_validate,Flaky,Multi-Factor,F,0,0.08,12,spaCy/spacy/tests/pipeline/test_entity_ruler.py
689759017,test_add_pipe_duplicate_name,Flaky,Multi-Factor,F,0,0.08,3,spaCy/spacy/tests/pipeline/test_pipe_methods.py
689759017,test_cant_add_pipe_first_and_last,Flaky,Multi-Factor,F,0,0.08,2,spaCy/spacy/tests/pipeline/test_pipe_methods.py
689759017,test_get_pipe,Flaky,Multi-Factor,F,0,0.08,4,spaCy/spacy/tests/pipeline/test_pipe_methods.py
689759017,test_replace_pipe,Non-Flaky,Multi-Factor,F,0,0.08,8,spaCy/spacy/tests/pipeline/test_pipe_methods.py
689759017,test_rename_pipe,Flaky,Multi-Factor,F,0,0.08,5,spaCy/spacy/tests/pipeline/test_pipe_methods.py
689759017,test_remove_pipe,Non-Flaky,Multi-Factor,F,0,0.08,8,spaCy/spacy/tests/pipeline/test_pipe_methods.py
689759017,test_raise_for_invalid_components,Flaky,Multi-Factor,F,0,0.08,2,spaCy/spacy/tests/pipeline/test_pipe_methods.py
689759017,test_label_types,Flaky,Multi-Factor,F,0,0.08,5,spaCy/spacy/tests/pipeline/test_tagger.py
689759017,test_issue242,Flaky,Multi-Factor,F,0,0.19,19,spaCy/spacy/tests/regression/test_issue1-1000.py
689759017,test_issue588,Flaky,Multi-Factor,F,0,0.08,3,spaCy/spacy/tests/regression/test_issue1-1000.py
689759017,test_issue1375,Non-Flaky,Multi-Factor,F,0,0.14,8,spaCy/spacy/tests/regression/test_issue1001-1500.py
689759017,test_issue1727,Non-Flaky,Multi-Factor,F,0,0.24,14,spaCy/spacy/tests/regression/test_issue1501-2000.py
689759017,test_issue1915,Flaky,Multi-Factor,F,0,0.17,6,spaCy/spacy/tests/regression/test_issue1501-2000.py
689759017,test_issue2564,Flaky,Multi-Factor,F,0,0.24,11,spaCy/spacy/tests/regression/test_issue2501-3000.py
689759017,test_issue2833,Flaky,Multi-Factor,F,0,0.08,6,spaCy/spacy/tests/regression/test_issue2501-3000.py
689759017,test_issue3410,Flaky,Multi-Factor,F,0,0.14,12,spaCy/spacy/tests/regression/test_issue3001-3500.py
