Build ID,Test Method,Flaky or Not,Detection Method,Traceback Cover,Number of Smells,Flaky Frequency,Size,Path
740192125,test_da_noun_chunks,Non-Flaky,Traceback Coverage,T,0,0.25,0,spaCy/spacy/tests/lang/da/test_noun_chunks.py
737712294,test_tr_tokenizer_handles_allcases,Non-Flaky,Traceback Coverage,T,0,0.40,4,spaCy/spacy/tests/lang/tr/test_tokenizer.py
736693485,test_tr_tokenizer_handles_allcases,Non-Flaky,Traceback Coverage,T,0,0.25,4,spaCy/spacy/tests/lang/tr/test_tokenizer.py
735379513,test_tokenizer_handles_long_text,Non-Flaky,Traceback Coverage,T,0,0.25,19,spaCy/spacy/tests/lang/mk/test_text.py
735379513,test_mk_lex_attrs_like_number,Non-Flaky,Traceback Coverage,T,0,0.25,3,spaCy/spacy/tests/lang/mk/test_text.py
735379513,test_mk_lex_attrs_capitals,Non-Flaky,Traceback Coverage,T,0,0.25,2,spaCy/spacy/tests/lang/mk/test_text.py
735379513,test_mk_lex_attrs_like_number_for_ordinal,Non-Flaky,Traceback Coverage,T,0,0.25,1,spaCy/spacy/tests/lang/mk/test_text.py
734249531,test_tt_tokenizer_handles_testcases,Flaky,Traceback Coverage,F,0,0.25,2,spaCy/spacy/tests/lang/tt/test_tokenizer.py
733751356,test_issue6177,Flaky,Traceback Coverage,F,0,0.25,0,spaCy/spacy/tests/regression/test_issue_6177.py
733086617,test_tr_noun_chunks_flat_simple,Non-Flaky,Traceback Coverage,T,0,0.17,11,spaCy/spacy/tests/lang/tr/test_parser.py
733086617,test_tr_noun_chunks_flat_name_lastname_and_title,Non-Flaky,Traceback Coverage,T,0,0.17,11,spaCy/spacy/tests/lang/tr/test_parser.py
733086617,test_tr_noun_chunks_flat_and_chain_nmod,Non-Flaky,Traceback Coverage,T,0,0.20,11,spaCy/spacy/tests/lang/tr/test_parser.py
733086617,test_tr_noun_chunks_two_flats_conjed,Non-Flaky,Traceback Coverage,T,0,0.25,12,spaCy/spacy/tests/lang/tr/test_parser.py
733058417,test_issue6207,Non-Flaky,Traceback Coverage,T,0,0.25,9,spaCy/spacy/tests/regression/test_issue6207.py
732963963,test_tr_noun_chunks_flat_simple,Non-Flaky,Traceback Coverage,T,0,0.20,11,spaCy/spacy/tests/lang/tr/test_parser.py
732963963,test_tr_noun_chunks_flat_name_lastname_and_title,Non-Flaky,Traceback Coverage,T,0,0.20,11,spaCy/spacy/tests/lang/tr/test_parser.py
732963963,test_tr_noun_chunks_flat_and_chain_nmod,Non-Flaky,Traceback Coverage,T,0,0.25,11,spaCy/spacy/tests/lang/tr/test_parser.py
732936155,test_tr_noun_chunks_flat_simple,Non-Flaky,Traceback Coverage,T,0,0.25,11,spaCy/spacy/tests/lang/tr/test_parser.py
732936155,test_tr_noun_chunks_flat_name_lastname_and_title,Non-Flaky,Traceback Coverage,T,0,0.25,11,spaCy/spacy/tests/lang/tr/test_parser.py
732779828,test_tr_noun_chunks_conj_simple,Non-Flaky,Traceback Coverage,T,0,0.25,12,spaCy/spacy/tests/lang/tr/test_parser.py
732779828,test_tr_noun_chunks_conj_three,Non-Flaky,Traceback Coverage,T,0,0.25,26,spaCy/spacy/tests/lang/tr/test_parser.py
732779828,test_tr_noun_chunks_conj_subject,Non-Flaky,Traceback Coverage,T,0,0.25,12,spaCy/spacy/tests/lang/tr/test_parser.py
720296809,test_lex_attrs_like_number,Non-Flaky,Traceback Coverage,T,0,0.20,3,spaCy/spacy/tests/lang/he/test_tokenizer.py
720238021,test_lex_attrs_like_number,Non-Flaky,Traceback Coverage,T,0,0.22,3,spaCy/spacy/tests/lang/en/test_text.py
720238021,test_en_lex_attrs_like_number_for_ordinal,Flaky,Traceback Coverage,F,0,0.20,1,spaCy/spacy/tests/lang/en/test_text.py
