Failed Test Case,Coverage status,Build ID,Build Finished Time,Path
test_issue5152,F,689997586,2020-05-22 11:35:52,spaCy/spacy/tests/regression/test_issue5152.py
test_to_disk_resource_warning,F,689997586,2020-05-22 11:35:52,spaCy/spacy/tests/regression/test_issue5230.py
test_resource_warning,F,689997586,2020-05-22 11:35:52,spaCy/spacy/tests/regression/test_issue5230.py
test_issue5458,F,689997586,2020-05-22 11:35:52,spaCy/spacy/tests/regression/test_issue5458.py
test_pickle_vocab,F,689997586,2020-05-22 11:35:52,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
test_vectors_serialize,F,689997586,2020-05-22 11:35:52,spaCy/spacy/tests/vocab_vectors/test_vectors.py
