Test Case,Score,NT-FDUC,Size,Number of Test Smells,Latest Dependency Cover,Latest Failed build_id,Path
test_save,2.20,1,14,0,F,596725786,tests/datasource_tests.py
test_get_datasource,3.00,1,19,2,F,596725786,tests/datasource_tests.py
test_get_datasource_failed,3.00,1,4,2,F,596725786,tests/datasource_tests.py
test_druid_sync_from_config,4.70,1,79,0,F,596725786,tests/druid_tests.py
test_filter_druid_datasource,3.15,1,32,2,F,596725786,tests/druid_tests.py
test_sync_druid_perm,3.05,1,38,1,F,596725786,tests/druid_tests.py
test_refresh_metadata,2.20,1,19,0,F,596725786,tests/druid_tests.py
test_refresh_metadata_augment_type,2.20,1,23,0,F,596725786,tests/druid_tests.py
test_refresh_metadata_augment_verbose_name,2.20,1,22,0,F,596725786,tests/druid_tests.py
test_druid_time_granularities,4.05,1,50,2,F,596725786,tests/druid_tests.py
test_data_for_slices,2.20,1,10,0,F,663237252,tests/model_tests.py
test_cache_key_changes_when_datasource_is_updated,2.20,1,25,0,F,642681555,tests/core_tests.py
test_gamma_permissions,2.60,1,37,0,F,205134907,tests/results_backends_tests.py
test_multi_sql,2.20,1,7,0,F,596725786,tests/sqllab_tests.py
test_sqllab_viz,3.40,1,25,3,F,596725786,tests/sqllab_tests.py
test_sql_limit,2.20,1,20,0,F,596725786,tests/sqllab_tests.py
test_api_database,3.40,1,18,3,F,596725786,tests/sqllab_tests.py
test_validator_success,2.20,1,5,0,F,596725786,tests/sql_validator_tests.py
test_validator_db_error,2.20,1,7,0,F,596725786,tests/sql_validator_tests.py
test_validator_unexpected_error,2.20,1,7,0,F,596725786,tests/sql_validator_tests.py
test_validator_query_error,2.20,1,7,0,F,596725786,tests/sql_validator_tests.py
test_validate_sql_endpoint,2.20,1,11,0,F,596725786,tests/sql_validator_tests.py
test_top_n_dashboards_strategy,2.60,1,10,1,F,596725786,tests/strategy_tests.py
test_job_1_launched_stage_1_map_40_progress,2.20,1,9,0,F,257910534,tests/db_engine_specs_test.py
test_job_1_launched_stage_1_map_80_reduce_40_progress,2.20,1,10,0,F,257910534,tests/db_engine_specs_test.py
test_job_1_launched_stage_2_stages_progress,2.20,1,12,0,F,257910534,tests/db_engine_specs_test.py
test_job_2_launched_stage_2_stages_progress,2.20,1,11,0,F,257910534,tests/db_engine_specs_test.py
test_alert_observer,1.40,0,57,0,,,
test_operator_validator,0.80,0,45,0,,,
test_run_sync_query_cta_config,0.40,0,16,1,,,
test_run_async_query_cta_config,0.40,0,15,1,,,
test_run_async_cta_query,0.40,0,13,1,,,
test_run_async_cta_query_with_lower_limit,0.40,0,21,1,,,
test_get_user_slices_for_owners,2.50,0,31,6,,,
test_testconn_failed_conn,0.20,0,33,0,,,
test_display_limit,0.35,0,36,0,,,
test_results_default_deserialization,0.70,0,43,0,,,
test_results_msgpack_deserialization,1.00,0,49,0,,,
test_feature_flag_serialization,0.40,0,23,1,,,
test_sqllab_backend_persistence_payload,0.40,0,37,0,,,
test_import_csv_enforced_schema,0.45,0,38,0,,,
test_import_excel,0.10,0,31,0,,,
test_get_filters_extraction_fn_map,0.60,0,41,0,,,
test_run_query_no_groupby,0.75,0,44,0,,,
test_run_query_with_adhoc_metric,1.10,0,51,0,,,
test_run_query_single_groupby,3.20,0,93,0,,,
test_run_query_multiple_groupby,0.70,0,43,0,,,
test_get_post_agg_returns_correct_agg_type,1.85,0,66,0,,,
test_recursive_get_fields,0.35,0,36,0,,,
test_metrics_and_post_aggs,3.30,0,95,0,,,
test_druid_type_from_adhoc_metric,0.55,0,40,0,,,
test_run_query_order_by_metrics,4.85,0,126,0,,,
test_get_aggregations,0.55,0,40,0,,,
test_urls,3.20,0,13,8,,,
test_send_mime,0.40,0,13,1,,,
test_send_mime_ssl,0.40,0,8,1,,,
test_send_mime_noauth,0.40,0,8,1,,,
test_import_dashboard_1_slice,0.40,0,37,0,,,
test_import_dashboard_2_slices,0.90,0,47,0,,,
test_filter_values_adhoc_filters,0.35,0,36,0,,,
test_query_with_expr_groupby_timeseries,0.10,0,31,0,,,
test_flatten_column_after_pivot,1.25,0,54,0,,,
test_pivot_exceptions,0.45,0,38,0,,,
test_rolling,1.55,0,60,0,,,
test_select,0.25,0,34,0,,,
test_geodetic_parse,0.55,0,40,0,,,
test_schema_deserialization,0.15,0,32,0,,,
test_nested_types,0.45,0,38,0,,,
test_single_column_multidim_nested_types,0.15,0,32,0,,,
test_crontab_scheduler,0.40,0,18,1,,,
test_wider_schedules,0.40,0,11,1,,,
test_deliver_dashboard_as_attachment,0.15,0,32,0,,,
